GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,NestedRecordMergedSizeException,16,0,0,0,6,0,3,0,3,0
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,MergedRecord,26,15,0,0,4,6,4,2,4,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,RecordMethodFacatory,3,264,3,31,3,52,3,19,0,5
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,RecordsProcessorUtil,51,458,13,51,13,129,14,32,1,13
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,RecordMethodCache,0,49,0,0,0,13,0,7,0,7
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,FieldProcessorRegistry,0,101,0,0,0,23,0,4,0,4
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,RecordHeader,26,15,0,0,7,6,1,3,1,3
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,ProcessCase,0,24,0,0,0,3,0,1,0,1
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,CellNotFoundException,6,18,0,0,2,7,2,1,2,1
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,ListenerClassCache,16,44,0,0,8,13,4,6,4,6
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,AbstractFieldProcessor,35,55,3,5,9,14,4,4,1,3
XlsMapper,com.gh.mygreen.xlsmapper,XlsSaver,9,702,4,66,3,132,6,39,2,8
XlsMapper,com.gh.mygreen.xlsmapper,LoadingWorkObject,0,61,0,0,0,20,0,9,0,9
XlsMapper,com.gh.mygreen.xlsmapper,CellFormatter,1,0,0,0,1,0,1,0,1,0
XlsMapper,com.gh.mygreen.xlsmapper,SavingWorkObject,30,31,0,0,9,11,2,7,2,7
XlsMapper,com.gh.mygreen.xlsmapper,SheetBindingErrorsFactory,0,8,0,0,0,2,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper,XlsLoader,77,792,8,80,15,147,10,49,4,11
XlsMapper,com.gh.mygreen.xlsmapper,DefaultCellCommentHandler,50,360,6,36,15,86,11,29,6,13
XlsMapper,com.gh.mygreen.xlsmapper,NeedProcess,0,21,0,0,0,8,0,4,0,4
XlsMapper,com.gh.mygreen.xlsmapper,SpringBeanFactory,33,119,14,14,6,29,12,8,1,5
XlsMapper,com.gh.mygreen.xlsmapper,Configuration,39,203,0,0,16,64,8,30,8,30
XlsMapper,com.gh.mygreen.xlsmapper,AnnotationInvalidException,3,22,0,0,1,9,1,3,1,3
XlsMapper,com.gh.mygreen.xlsmapper,SheetNotFoundException,9,48,0,0,3,17,3,3,3,3
XlsMapper,com.gh.mygreen.xlsmapper,XlsMapperException,7,9,0,0,4,4,2,2,2,2
XlsMapper,com.gh.mygreen.xlsmapper,DefaultCellFormatter,9,139,1,7,4,32,3,14,2,11
XlsMapper,com.gh.mygreen.xlsmapper,SheetFinder,28,397,8,48,5,77,7,25,0,4
XlsMapper,com.gh.mygreen.xlsmapper,DefaultBeanFactory,15,49,0,4,2,10,0,4,0,2
XlsMapper,com.gh.mygreen.xlsmapper,XlsMapper,20,87,0,0,3,21,3,12,3,12
XlsMapper,com.gh.mygreen.xlsmapper,CellCommentOperator,7,177,0,4,3,38,2,13,2,11
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory.new MapPositionSetter() {...},7,39,1,1,2,10,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory.new MapPositionSetter() {...},7,40,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory.new MapPositionSetter() {...},7,33,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory.new MapPositionSetter() {...},7,33,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory.new MapPositionSetter() {...},7,32,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory.new MapPositionSetter() {...},7,50,1,1,2,11,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory.new MapPositionSetter() {...},7,50,0,2,2,11,0,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory.new MapPositionSetter() {...},7,49,0,2,2,11,0,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapCommentGetterFactory,4,216,4,16,2,50,4,13,0,7
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory.new MapPositionSetter() {...},7,40,1,1,2,10,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapCommentSetterFactory,2,214,3,15,1,48,3,13,0,7
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayLabelSetterFactory,0,207,1,15,0,48,1,14,0,7
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayPositionSetterFactory,2,338,4,24,1,67,4,17,0,7
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayLabelSetterFactory.new ArrayLabelSetter() {...},7,38,1,1,2,10,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayLabelSetterFactory.new ArrayLabelSetter() {...},7,49,0,2,2,11,0,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayLabelSetterFactory.new ArrayLabelSetter() {...},7,33,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,FieldAccessor,103,399,5,21,19,94,11,45,6,37
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory,2,355,7,27,1,68,7,17,0,7
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapLabelSetterFactory.new MapLabelSetter() {...},7,49,0,2,2,11,0,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapLabelSetterFactory.new MapLabelSetter() {...},7,39,1,1,2,10,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapLabelSetterFactory.new MapLabelSetter() {...},7,32,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapCommentGetterFactory.new MapCommentGetter() {...},7,37,0,2,2,7,0,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,FieldAccessorFactory,73,909,7,71,22,158,7,48,0,16
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapCommentGetterFactory.new MapCommentGetter() {...},7,27,0,0,2,4,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapCommentGetterFactory.new MapCommentGetter() {...},7,30,0,2,2,7,0,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapLabelSetterFactory,2,214,3,15,1,48,3,13,0,7
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory.new PositionSetter() {...},7,29,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory.new PositionSetter() {...},7,23,0,0,2,4,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory.new PositionSetter() {...},7,28,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory.new PositionSetter() {...},7,44,1,1,2,10,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory.new PositionSetter() {...},7,44,0,2,2,10,0,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory.new PositionSetter() {...},7,43,0,2,2,10,0,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory.new PositionSetter() {...},7,23,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory.new PositionSetter() {...},7,22,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory.new PositionSetter() {...},7,36,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory.new MapPositionSetter() {...},7,40,1,1,2,10,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,CommentSetterFactory.new CommentSetter() {...},7,43,0,2,2,10,0,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,CommentSetterFactory.new CommentSetter() {...},7,28,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,CommentSetterFactory.new CommentSetter() {...},7,22,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayCommentGetterFactory.new ArrayCommentGetter() {...},7,37,0,2,2,7,0,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayCommentGetterFactory.new ArrayCommentGetter() {...},7,28,0,0,2,4,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayCommentGetterFactory.new ArrayCommentGetter() {...},9,36,1,3,3,8,1,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,CommentGetterFactory,0,177,1,15,0,46,1,13,0,6
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,FieldAccessException,18,0,0,0,7,0,3,0,3,0
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,CommentSetterFactory,0,173,1,13,0,43,1,12,0,6
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,FieldAccessorProxyComparator,14,60,5,7,4,14,5,5,0,4
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,CommentGetterFactory.new CommentGetter() {...},7,23,0,0,2,4,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,CommentGetterFactory.new CommentGetter() {...},7,31,0,2,2,6,0,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionGetterFactory,0,257,3,29,0,58,3,19,0,6
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,CommentGetterFactory.new CommentGetter() {...},7,21,0,0,2,4,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayPositionSetterFactory.new ArrayPositionSetter() {...},7,39,1,1,2,10,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory.new PositionSetter() {...},7,23,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,FieldAccessorProxy,9,80,3,5,4,21,4,7,1,6
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionGetterFactory.new PositionGetter() {...},7,26,0,0,2,4,0,3,0,3
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionGetterFactory.new PositionGetter() {...},7,21,0,0,2,4,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory,0,296,3,23,0,63,3,16,0,6
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionGetterFactory.new PositionGetter() {...},7,26,0,0,2,4,0,3,0,3
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionGetterFactory.new PositionGetter() {...},7,28,0,0,2,4,0,3,0,3
